               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10764,             0.02583,                   0,          0.00084394,            0.031915,          0.00018235,          3.7184e-05,            0.096144,            0.020764,                   0,             0.00079,             0.00079,             0.09289
                   1,             0.10054,            0.020335,                   0,           0.0022295,             0.10638,          0.00070179,             0.00013,            0.088695,            0.017539,                   0,           0.0015896,           0.0015896,             0.08569
                   2,            0.089599,            0.018932,                   0,           0.0093684,             0.11702,           0.0030578,          0.00056996,            0.075345,            0.016355,                   0,           0.0023879,           0.0023879,            0.078488
                   3,            0.074997,            0.018346,                   0,             0.10736,              0.2766,            0.062286,            0.013465,            0.063372,            0.016155,                   0,           0.0031836,           0.0031836,            0.071284
                   4,            0.066765,            0.019702,                   0,              0.1646,             0.37234,             0.12145,            0.030612,            0.060748,            0.014854,                   0,           0.0039758,           0.0039758,            0.064076
                   5,            0.061353,            0.017715,                   0,             0.32695,             0.24468,              0.2285,            0.050147,            0.054727,            0.014372,                   0,           0.0047635,           0.0047635,            0.056863
                   6,            0.058963,            0.015574,                   0,             0.47054,             0.32979,             0.35734,             0.12737,            0.052293,            0.014117,                   0,           0.0055454,           0.0055454,            0.049645
                   7,            0.060491,            0.015592,                   0,             0.29394,             0.41489,             0.29861,             0.10191,            0.052286,            0.013248,                   0,           0.0063207,           0.0063207,            0.042421
                   8,            0.061025,            0.014605,                   0,              0.4021,             0.28723,             0.30516,            0.099706,            0.054049,            0.012376,                   0,           0.0070884,           0.0070884,            0.035188
                   9,            0.055434,            0.015259,                   0,             0.48137,             0.29624,             0.36856,             0.12958,            0.050735,            0.012144,                   0,           0.0078472,           0.0078472,            0.027947
                  10,            0.054414,            0.013784,                   0,             0.33518,             0.44681,             0.37024,             0.11846,            0.053313,            0.011003,                   0,           0.0085964,           0.0085964,            0.020696
                  11,            0.059236,            0.014688,                   0,             0.39834,             0.78886,             0.49059,             0.14973,            0.050812,            0.011066,                   0,           0.0093349,           0.0093349,            0.013435
                  12,            0.053455,            0.012549,                   0,              0.5566,             0.52128,             0.48816,             0.17538,            0.052585,            0.010189,                   0,            0.009684,            0.009684,            0.009684
                  13,            0.053318,            0.011996,                   0,              0.6713,             0.79787,             0.73133,             0.24274,            0.045768,            0.010614,                   0,            0.009684,            0.009684,            0.009684
                  14,            0.046316,            0.011157,                   0,             0.65489,             0.53191,             0.54931,             0.24306,            0.046508,           0.0094812,                   0,           0.0096299,           0.0096299,           0.0096299
                  15,            0.046541,            0.011465,                   0,             0.53483,             0.64828,             0.54805,             0.20485,            0.046925,           0.0084915,                   0,           0.0095717,           0.0095717,           0.0095717
                  16,            0.051398,           0.0087688,                   0,              0.4231,             0.53191,             0.42524,             0.15872,             0.05067,           0.0093218,                   0,           0.0095095,           0.0095095,           0.0095095
                  17,            0.048561,           0.0091117,                   0,             0.65795,             0.57447,             0.58861,             0.19886,            0.047737,           0.0079374,                   0,           0.0094434,           0.0094434,           0.0094434
                  18,            0.046422,           0.0095929,                   0,             0.61499,             0.68085,             0.61629,             0.22853,            0.046677,            0.007776,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,            0.045058,           0.0094078,                   0,             0.56351,             0.65957,             0.56201,             0.20119,            0.047346,           0.0075935,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.042026,           0.0081114,                   0,             0.49032,             0.54241,             0.45421,             0.13963,            0.049734,           0.0077705,                   0,           0.0092219,           0.0092219,           0.0092219
